2015-03-12	10:06
Amplitude: 1,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
9999,983            -22,151             84,072
10233,000            -21,668             82,817
10471,232            -21,016             82,986
10715,239            -20,403             82,400
10964,833            -19,702             82,646
11220,202            -18,967             81,582
11481,531            -18,141             80,289
11749,007            -17,272             80,107
12022,629            -16,325             79,078
12302,771            -15,239             76,661
12589,246            -14,031             74,584
12882,426            -12,635             72,110
13182,499            -10,997             68,547
13489,649             -9,075             62,879
13803,877             -6,735             53,904
14125,369             -4,138             37,329
14454,313             -2,268              8,760
14791,079             -2,938            -24,138
15135,668             -5,383            -46,433
15488,081             -7,885            -58,552
15848,875             -9,996            -65,924
16218,051            -11,813            -70,984
16595,796            -13,301            -73,808
16982,481            -14,649            -76,114
17377,920            -15,788            -77,967
17782,860            -16,783            -79,535
18196,926            -17,732            -80,038
18620,864            -18,581            -80,815
19054,674            -19,353            -81,643
19498,356            -20,033            -82,530
19952,655            -20,701            -83,137
