2015-03-25	12:55
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100,024            -41,799             80,414
104,681            -41,364             80,797
109,710            -40,927             80,448
114,739            -40,478             81,412
120,141            -39,989             81,469
125,915            -39,522             82,606
131,875            -39,011             82,108
138,022            -38,527             82,713
144,541            -38,105             82,638
151,433            -37,684             82,776
158,511            -37,374             83,109
165,962            -37,030             83,147
173,785            -36,620             83,215
181,980            -36,121             83,343
190,549            -35,646             83,851
199,489            -35,203             83,358
208,989            -34,676             83,427
218,861            -34,116             83,509
229,105            -33,583             83,825
239,909            -33,158             84,059
251,271            -32,723             84,234
263,005            -32,260             84,026
275,485            -31,737             83,689
288,337            -31,184             83,853
301,935            -30,607             84,032
316,277            -30,107             83,875
331,178            -29,575             83,947
346,825            -28,980             83,772
363,030            -28,353             83,717
380,166            -27,768             83,567
398,047            -27,089             83,296
416,860            -26,354             82,907
436,604            -25,591             82,779
457,093            -24,795             82,275
478,700            -23,919             81,716
501,238            -23,003             81,052
524,893            -22,005             80,342
549,480            -20,880             79,341
575,371            -19,611             77,873
602,566            -18,143             76,155
630,878            -16,419             73,317
660,680            -14,293             69,112
691,786            -11,658             61,396
724,383             -8,234             46,016
758,655             -5,128             12,451
794,418             -6,236            -31,065
831,671             -9,731            -55,278
870,973            -12,774            -66,547
911,951            -15,170            -72,586
954,978            -17,120            -76,043
1000,054            -18,742            -78,343
1047,179            -20,120            -80,017
1096,539            -21,360            -81,398
1148,134            -22,432            -82,211
1202,337            -23,407            -83,051
1258,962            -24,302            -83,349
1318,194            -25,115            -83,964
1380,406            -25,941            -84,287
1445,413            -26,677            -84,507
1513,585            -27,417            -84,984
1584,925            -28,032            -85,149
1659,617            -28,671            -85,210
1737,848            -29,276            -85,468
1819,618            -29,859            -85,652
1905,486            -30,342            -85,612
1995,265            -30,880            -85,415
2089,329            -31,460            -85,613
2187,677            -32,001            -85,601
2290,867            -32,557            -85,391
2398,901            -32,963            -85,496
2511,963            -33,372            -85,775
2630,241            -33,910            -85,456
2754,293            -34,435            -85,164
2884,120            -34,906            -86,262
3019,907            -35,454            -86,460
3162,213            -35,954            -86,204
3311,224            -36,405            -85,523
3467,314            -36,879            -76,128
3630,854            -37,230            -84,143
3801,845            -37,562            -84,661
3981,031            -37,967            -84,672
4168,786            -38,280            -84,448
4365,109            -38,846            -86,701
4570,931            -39,332            -83,671
4786,253            -39,771            -85,233
5011,819            -40,466            -91,611
5248,003            -40,502            -89,487
5495,362            -41,370            -98,116
5754,456            -41,576            -81,733
6025,657            -42,149            -99,952
6309,524            -44,079            -85,944
6606,989            -42,793            -82,384
6918,237            -43,349            -80,827
7244,386            -43,970            -84,176
7585,809            -44,391            -82,520
7943,250            -44,893            -84,641
8317,642            -44,920            -80,148
8709,729            -45,534            -84,718
9120,069            -45,684            -79,312
9549,968            -45,918            -78,496
9999,983            -46,087            -77,962
