waveform	[0]		[1]	
t0	2015-03-25  12:49:23,032429		2015-03-25  12:49:23,032429	
delta t	2,000000E-5		2,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2015-03-25  12:49:23,032429	1,696593E-1	2015-03-25  12:49:23,032429	1,172881E-2
2015-03-25  12:49:23,032449	1,696593E-1	2015-03-25  12:49:23,032449	2,013150E-2
2015-03-25  12:49:23,032469	9,541313E+0	2015-03-25  12:49:23,032469	4,533959E-2
2015-03-25  12:49:23,032489	9,625742E+0	2015-03-25  12:49:23,032489	1,041585E-1
2015-03-25  12:49:23,032509	9,625742E+0	2015-03-25  12:49:23,032509	1,629773E-1
2015-03-25  12:49:23,032529	9,625742E+0	2015-03-25  12:49:23,032529	2,133935E-1
2015-03-25  12:49:23,032549	9,625742E+0	2015-03-25  12:49:23,032549	2,638097E-1
2015-03-25  12:49:23,032569	9,625742E+0	2015-03-25  12:49:23,032569	3,226285E-1
2015-03-25  12:49:23,032589	9,625742E+0	2015-03-25  12:49:23,032589	3,646420E-1
2015-03-25  12:49:23,032609	9,625742E+0	2015-03-25  12:49:23,032609	3,982528E-1
2015-03-25  12:49:23,032629	9,625742E+0	2015-03-25  12:49:23,032629	4,318636E-1
2015-03-25  12:49:23,032649	9,625742E+0	2015-03-25  12:49:23,032649	4,654743E-1
2015-03-25  12:49:23,032669	9,625742E+0	2015-03-25  12:49:23,032669	5,074878E-1
2015-03-25  12:49:23,032689	9,625742E+0	2015-03-25  12:49:23,032689	5,326959E-1
2015-03-25  12:49:23,032709	9,625742E+0	2015-03-25  12:49:23,032709	5,495013E-1
2015-03-25  12:49:23,032729	9,625742E+0	2015-03-25  12:49:23,032729	5,579040E-1
2015-03-25  12:49:23,032749	9,625742E+0	2015-03-25  12:49:23,032749	5,663067E-1
2015-03-25  12:49:23,032769	9,625742E+0	2015-03-25  12:49:23,032769	5,663067E-1
2015-03-25  12:49:23,032789	9,625742E+0	2015-03-25  12:49:23,032789	5,831121E-1
2015-03-25  12:49:23,032809	9,625742E+0	2015-03-25  12:49:23,032809	5,663067E-1
2015-03-25  12:49:23,032829	9,625742E+0	2015-03-25  12:49:23,032829	5,495013E-1
2015-03-25  12:49:23,032849	9,625742E+0	2015-03-25  12:49:23,032849	5,410986E-1
2015-03-25  12:49:23,032869	9,625742E+0	2015-03-25  12:49:23,032869	5,242932E-1
2015-03-25  12:49:23,032889	9,625742E+0	2015-03-25  12:49:23,032889	4,906824E-1
2015-03-25  12:49:23,032909	9,625742E+0	2015-03-25  12:49:23,032909	4,654743E-1
2015-03-25  12:49:23,032929	9,625742E+0	2015-03-25  12:49:23,032929	4,318636E-1
2015-03-25  12:49:23,032949	9,625742E+0	2015-03-25  12:49:23,032949	3,898501E-1
2015-03-25  12:49:23,032969	9,625742E+0	2015-03-25  12:49:23,032969	3,562393E-1
2015-03-25  12:49:23,032989	9,625742E+0	2015-03-25  12:49:23,032989	3,226285E-1
2015-03-25  12:49:23,033009	9,625742E+0	2015-03-25  12:49:23,033009	2,722124E-1
2015-03-25  12:49:23,033029	9,625742E+0	2015-03-25  12:49:23,033029	2,301989E-1
