waveform	[0]		[1]	
t0	2015-03-25  13:04:16,697547		2015-03-25  13:04:16,697547	
delta t	4,000000E-5		4,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2015-03-25  13:04:16,697547	1,140800E+0	2015-03-25  13:04:16,697547	6,214498E-2
2015-03-25  13:04:16,697587	8,871407E-1	2015-03-25  13:04:16,697587	6,214498E-2
2015-03-25  13:04:16,697627	5,912052E-1	2015-03-25  13:04:16,697627	7,054767E-2
2015-03-25  13:04:16,697667	-1,860831E+0	2015-03-25  13:04:16,697667	6,214498E-2
2015-03-25  13:04:16,697707	-7,616426E-1	2015-03-25  13:04:16,697707	3,693689E-2
2015-03-25  13:04:16,697747	-2,579532E+0	2015-03-25  13:04:16,697747	1,172881E-2
2015-03-25  13:04:16,697787	-2,114490E+0	2015-03-25  13:04:16,697787	-2,188197E-2
2015-03-25  13:04:16,697827	-1,057578E+0	2015-03-25  13:04:16,697827	-3,028467E-2
2015-03-25  13:04:16,697867	-1,860831E+0	2015-03-25  13:04:16,697867	-5,549275E-2
2015-03-25  13:04:16,697907	8,871407E-1	2015-03-25  13:04:16,697907	-6,389545E-2
2015-03-25  13:04:16,697947	4,220992E-1	2015-03-25  13:04:16,697947	-4,709006E-2
2015-03-25  13:04:16,697987	1,648118E+0	2015-03-25  13:04:16,697987	-3,868736E-2
2015-03-25  13:04:16,698027	2,662753E+0	2015-03-25  13:04:16,698027	1,172881E-2
2015-03-25  13:04:16,698067	1,098523E+0	2015-03-25  13:04:16,698067	2,853420E-2
2015-03-25  13:04:16,698107	2,535924E+0	2015-03-25  13:04:16,698107	5,374228E-2
2015-03-25  13:04:16,698147	3,375462E-1	2015-03-25  13:04:16,698147	7,895037E-2
2015-03-25  13:04:16,698187	-1,274952E-1	2015-03-25  13:04:16,698187	7,054767E-2
2015-03-25  13:04:16,698227	-4,234307E-1	2015-03-25  13:04:16,698227	6,214498E-2
2015-03-25  13:04:16,698267	-2,664085E+0	2015-03-25  13:04:16,698267	3,693689E-2
2015-03-25  13:04:16,698307	-1,184408E+0	2015-03-25  13:04:16,698307	1,172881E-2
2015-03-25  13:04:16,698347	-2,537255E+0	2015-03-25  13:04:16,698347	-1,347928E-2
