waveform	[0]		[1]	
t0	2015-03-25  12:48:18,854759		2015-03-25  12:48:18,854759	
delta t	2,000000E-5		2,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2015-03-25  12:48:18,854759	8,523001E-2	2015-03-25  12:48:18,854759	2,013150E-2
2015-03-25  12:48:18,854779	8,523001E-2	2015-03-25  12:48:18,854779	2,013150E-2
2015-03-25  12:48:18,854799	9,541313E+0	2015-03-25  12:48:18,854799	4,533959E-2
2015-03-25  12:48:18,854819	9,625742E+0	2015-03-25  12:48:18,854819	1,209638E-1
2015-03-25  12:48:18,854839	9,625742E+0	2015-03-25  12:48:18,854839	1,713800E-1
2015-03-25  12:48:18,854859	9,625742E+0	2015-03-25  12:48:18,854859	2,217962E-1
2015-03-25  12:48:18,854879	9,625742E+0	2015-03-25  12:48:18,854879	2,722124E-1
2015-03-25  12:48:18,854899	9,625742E+0	2015-03-25  12:48:18,854899	3,142258E-1
2015-03-25  12:48:18,854919	9,625742E+0	2015-03-25  12:48:18,854919	3,646420E-1
2015-03-25  12:48:18,854939	9,625742E+0	2015-03-25  12:48:18,854939	3,982528E-1
2015-03-25  12:48:18,854959	9,625742E+0	2015-03-25  12:48:18,854959	4,570716E-1
2015-03-25  12:48:18,854979	9,625742E+0	2015-03-25  12:48:18,854979	4,738770E-1
2015-03-25  12:48:18,854999	9,625742E+0	2015-03-25  12:48:18,854999	4,990851E-1
2015-03-25  12:48:18,855019	9,625742E+0	2015-03-25  12:48:18,855019	5,242932E-1
2015-03-25  12:48:18,855039	9,625742E+0	2015-03-25  12:48:18,855039	5,495013E-1
2015-03-25  12:48:18,855059	9,625742E+0	2015-03-25  12:48:18,855059	5,663067E-1
2015-03-25  12:48:18,855079	9,625742E+0	2015-03-25  12:48:18,855079	5,747094E-1
2015-03-25  12:48:18,855099	9,625742E+0	2015-03-25  12:48:18,855099	5,747094E-1
2015-03-25  12:48:18,855119	9,625742E+0	2015-03-25  12:48:18,855119	5,663067E-1
2015-03-25  12:48:18,855139	9,625742E+0	2015-03-25  12:48:18,855139	5,663067E-1
2015-03-25  12:48:18,855159	9,625742E+0	2015-03-25  12:48:18,855159	5,663067E-1
2015-03-25  12:48:18,855179	9,710171E+0	2015-03-25  12:48:18,855179	5,326959E-1
2015-03-25  12:48:18,855199	9,625742E+0	2015-03-25  12:48:18,855199	5,158905E-1
2015-03-25  12:48:18,855219	9,625742E+0	2015-03-25  12:48:18,855219	4,990851E-1
2015-03-25  12:48:18,855239	9,625742E+0	2015-03-25  12:48:18,855239	4,654743E-1
2015-03-25  12:48:18,855259	9,625742E+0	2015-03-25  12:48:18,855259	4,318636E-1
2015-03-25  12:48:18,855279	9,710171E+0	2015-03-25  12:48:18,855279	3,982528E-1
2015-03-25  12:48:18,855299	9,625742E+0	2015-03-25  12:48:18,855299	3,646420E-1
2015-03-25  12:48:18,855319	9,625742E+0	2015-03-25  12:48:18,855319	3,142258E-1
2015-03-25  12:48:18,855339	9,625742E+0	2015-03-25  12:48:18,855339	2,806150E-1
2015-03-25  12:48:18,855359	9,625742E+0	2015-03-25  12:48:18,855359	2,217962E-1
2015-03-25  12:48:18,855379	9,625742E+0	2015-03-25  12:48:18,855379	1,797827E-1
2015-03-25  12:48:18,855399	9,625742E+0	2015-03-25  12:48:18,855399	1,125611E-1
2015-03-25  12:48:18,855419	9,625742E+0	2015-03-25  12:48:18,855419	7,895037E-2
2015-03-25  12:48:18,855439	9,625742E+0	2015-03-25  12:48:18,855439	2,853420E-2
