waveform	[0]		[1]	
t0	2015-03-25  12:12:47,316839		2015-03-25  12:12:47,316839	
delta t	4,000000E-5		4,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2015-03-25  12:12:47,316839	1,500000E+0	2015-03-25  12:12:47,316839	2,265299E-2
2015-03-25  12:12:47,316879	1,500000E+0	2015-03-25  12:12:47,316879	4,471288E-2
2015-03-25  12:12:47,316919	1,500000E+0	2015-03-25  12:12:47,316919	6,486384E-2
2015-03-25  12:12:47,316959	1,500000E+0	2015-03-25  12:12:47,316959	8,239692E-2
2015-03-25  12:12:47,316999	1,500000E+0	2015-03-25  12:12:47,316999	9,670958E-2
2015-03-25  12:12:47,317039	1,500000E+0	2015-03-25  12:12:47,317039	1,073262E-1
2015-03-25  12:12:47,317079	1,500000E+0	2015-03-25  12:12:47,317079	1,139134E-1
2015-03-25  12:12:47,317119	1,500000E+0	2015-03-25  12:12:47,317119	1,162905E-1
2015-03-25  12:12:47,317159	1,500000E+0	2015-03-25  12:12:47,317159	1,144334E-1
2015-03-25  12:12:47,317199	1,500000E+0	2015-03-25  12:12:47,317199	1,084733E-1
2015-03-25  12:12:47,317239	1,500000E+0	2015-03-25  12:12:47,317239	9,868982E-2
2015-03-25  12:12:47,317279	1,500000E+0	2015-03-25  12:12:47,317279	8,549807E-2
2015-03-25  12:12:47,317319	1,500000E+0	2015-03-25  12:12:47,317319	6,943185E-2
2015-03-25  12:12:47,317359	1,500000E+0	2015-03-25  12:12:47,317359	5,112212E-2
2015-03-25  12:12:47,317399	1,500000E+0	2015-03-25  12:12:47,317399	3,127253E-2
2015-03-25  12:12:47,317439	1,500000E+0	2015-03-25  12:12:47,317439	1,063256E-2
2015-03-25  12:12:47,317479	1,500000E+0	2015-03-25  12:12:47,317479	-1,003059E-2
2015-03-25  12:12:47,317519	1,500000E+0	2015-03-25  12:12:47,317519	-2,996036E-2
2015-03-25  12:12:47,317559	1,500000E+0	2015-03-25  12:12:47,317559	-4,843831E-2
2015-03-25  12:12:47,317599	1,500000E+0	2015-03-25  12:12:47,317599	-6,480991E-2
2015-03-25  12:12:47,317639	1,500000E+0	2015-03-25  12:12:47,317639	-7,850748E-2
2015-03-25  12:12:47,317679	1,500000E+0	2015-03-25  12:12:47,317679	-8,906971E-2
2015-03-25  12:12:47,317719	1,500000E+0	2015-03-25  12:12:47,317719	-9,615692E-2
2015-03-25  12:12:47,317759	1,500000E+0	2015-03-25  12:12:47,317759	-9,956171E-2
2015-03-25  12:12:47,317799	1,500000E+0	2015-03-25  12:12:47,317799	-9,921452E-2
2015-03-25  12:12:47,317839	1,500000E+0	2015-03-25  12:12:47,317839	-9,518416E-2
2015-03-25  12:12:47,317879	1,500000E+0	2015-03-25  12:12:47,317879	-8,767322E-2
2015-03-25  12:12:47,317919	1,500000E+0	2015-03-25  12:12:47,317919	-7,700862E-2
2015-03-25  12:12:47,317959	1,500000E+0	2015-03-25  12:12:47,317959	-6,362781E-2
2015-03-25  12:12:47,317999	1,500000E+0	2015-03-25  12:12:47,317999	-4,806113E-2
2015-03-25  12:12:47,318039	1,500000E+0	2015-03-25  12:12:47,318039	-3,091097E-2
2015-03-25  12:12:47,318079	1,500000E+0	2015-03-25  12:12:47,318079	-1,282866E-2
2015-03-25  12:12:47,318119	1,500000E+0	2015-03-25  12:12:47,318119	5,510077E-3
2015-03-25  12:12:47,318159	1,500000E+0	2015-03-25  12:12:47,318159	2,343026E-2
2015-03-25  12:12:47,318199	1,500000E+0	2015-03-25  12:12:47,318199	4,028230E-2
2015-03-25  12:12:47,318239	1,500000E+0	2015-03-25  12:12:47,318239	5,546542E-2
2015-03-25  12:12:47,318279	1,500000E+0	2015-03-25  12:12:47,318279	6,844891E-2
2015-03-25  12:12:47,318319	1,500000E+0	2015-03-25  12:12:47,318319	7,879049E-2
2015-03-25  12:12:47,318359	1,500000E+0	2015-03-25  12:12:47,318359	8,615118E-2
2015-03-25  12:12:47,318399	1,500000E+0	2015-03-25  12:12:47,318399	9,030617E-2
2015-03-25  12:12:47,318439	1,500000E+0	2015-03-25  12:12:47,318439	9,115134E-2
2015-03-25  12:12:47,318479	1,500000E+0	2015-03-25  12:12:47,318479	8,870524E-2
2015-03-25  12:12:47,318519	1,500000E+0	2015-03-25  12:12:47,318519	8,310661E-2
2015-03-25  12:12:47,318559	1,500000E+0	2015-03-25  12:12:47,318559	7,460748E-2
2015-03-25  12:12:47,318599	1,500000E+0	2015-03-25  12:12:47,318599	6,356229E-2
2015-03-25  12:12:47,318639	1,500000E+0	2015-03-25  12:12:47,318639	5,041332E-2
2015-03-25  12:12:47,318679	1,500000E+0	2015-03-25  12:12:47,318679	3,567327E-2
2015-03-25  12:12:47,318719	1,500000E+0	2015-03-25  12:12:47,318719	1,990537E-2
2015-03-25  12:12:47,318759	1,500000E+0	2015-03-25  12:12:47,318759	3,702074E-3
2015-03-25  12:12:47,318799	1,500000E+0	2015-03-25  12:12:47,318799	-1,233711E-2
2015-03-25  12:12:47,318839	-5,000000E-1	2015-03-25  12:12:47,318839	-5,080353E-2
2015-03-25  12:12:47,318879	-5,000000E-1	2015-03-25  12:12:47,318879	-8,685700E-2
2015-03-25  12:12:47,318919	-5,000000E-1	2015-03-25  12:12:47,318919	-1,192117E-1
2015-03-25  12:12:47,318959	-5,000000E-1	2015-03-25  12:12:47,318959	-1,467388E-1
2015-03-25  12:12:47,318999	-5,000000E-1	2015-03-25  12:12:47,318999	-1,685030E-1
2015-03-25  12:12:47,319039	-5,000000E-1	2015-03-25  12:12:47,319039	-1,837941E-1
2015-03-25  12:12:47,319079	-5,000000E-1	2015-03-25  12:12:47,319079	-1,921492E-1
2015-03-25  12:12:47,319119	-5,000000E-1	2015-03-25  12:12:47,319119	-1,933661E-1
2015-03-25  12:12:47,319159	-5,000000E-1	2015-03-25  12:12:47,319159	-1,875072E-1
2015-03-25  12:12:47,319199	-5,000000E-1	2015-03-25  12:12:47,319199	-1,748927E-1
2015-03-25  12:12:47,319239	-5,000000E-1	2015-03-25  12:12:47,319239	-1,560852E-1
2015-03-25  12:12:47,319279	-5,000000E-1	2015-03-25  12:12:47,319279	-1,318656E-1
2015-03-25  12:12:47,319319	-5,000000E-1	2015-03-25  12:12:47,319319	-1,032013E-1
2015-03-25  12:12:47,319359	-5,000000E-1	2015-03-25  12:12:47,319359	-7,120772E-2
