waveform	[0]		[1]	
t0	2015-03-25  12:07:40,604296		2015-03-25  12:07:40,604296	
delta t	4,000000E-5		4,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2015-03-25  12:07:40,604296	1,500000E+0	2015-03-25  12:07:40,604296	2,265299E-2
2015-03-25  12:07:40,604336	1,500000E+0	2015-03-25  12:07:40,604336	4,471288E-2
2015-03-25  12:07:40,604376	1,500000E+0	2015-03-25  12:07:40,604376	6,486384E-2
2015-03-25  12:07:40,604416	1,500000E+0	2015-03-25  12:07:40,604416	8,239692E-2
2015-03-25  12:07:40,604456	1,500000E+0	2015-03-25  12:07:40,604456	9,670958E-2
2015-03-25  12:07:40,604496	1,500000E+0	2015-03-25  12:07:40,604496	1,073262E-1
2015-03-25  12:07:40,604536	1,500000E+0	2015-03-25  12:07:40,604536	1,139134E-1
2015-03-25  12:07:40,604576	1,500000E+0	2015-03-25  12:07:40,604576	1,162905E-1
2015-03-25  12:07:40,604616	1,500000E+0	2015-03-25  12:07:40,604616	1,144334E-1
2015-03-25  12:07:40,604656	1,500000E+0	2015-03-25  12:07:40,604656	1,084733E-1
2015-03-25  12:07:40,604696	1,500000E+0	2015-03-25  12:07:40,604696	9,868982E-2
2015-03-25  12:07:40,604736	1,500000E+0	2015-03-25  12:07:40,604736	8,549807E-2
2015-03-25  12:07:40,604776	1,500000E+0	2015-03-25  12:07:40,604776	6,943185E-2
2015-03-25  12:07:40,604816	1,500000E+0	2015-03-25  12:07:40,604816	5,112212E-2
2015-03-25  12:07:40,604856	1,500000E+0	2015-03-25  12:07:40,604856	3,127253E-2
2015-03-25  12:07:40,604896	1,500000E+0	2015-03-25  12:07:40,604896	1,063256E-2
2015-03-25  12:07:40,604936	1,500000E+0	2015-03-25  12:07:40,604936	-1,003059E-2
2015-03-25  12:07:40,604976	1,500000E+0	2015-03-25  12:07:40,604976	-2,996036E-2
2015-03-25  12:07:40,605016	1,500000E+0	2015-03-25  12:07:40,605016	-4,843831E-2
2015-03-25  12:07:40,605056	1,500000E+0	2015-03-25  12:07:40,605056	-6,480991E-2
2015-03-25  12:07:40,605096	1,500000E+0	2015-03-25  12:07:40,605096	-7,850748E-2
2015-03-25  12:07:40,605136	1,500000E+0	2015-03-25  12:07:40,605136	-8,906971E-2
2015-03-25  12:07:40,605176	1,500000E+0	2015-03-25  12:07:40,605176	-9,615692E-2
2015-03-25  12:07:40,605216	1,500000E+0	2015-03-25  12:07:40,605216	-9,956171E-2
2015-03-25  12:07:40,605256	1,500000E+0	2015-03-25  12:07:40,605256	-9,921452E-2
2015-03-25  12:07:40,605296	1,500000E+0	2015-03-25  12:07:40,605296	-9,518416E-2
2015-03-25  12:07:40,605336	1,500000E+0	2015-03-25  12:07:40,605336	-8,767322E-2
2015-03-25  12:07:40,605376	1,500000E+0	2015-03-25  12:07:40,605376	-7,700862E-2
2015-03-25  12:07:40,605416	1,500000E+0	2015-03-25  12:07:40,605416	-6,362781E-2
2015-03-25  12:07:40,605456	1,500000E+0	2015-03-25  12:07:40,605456	-4,806113E-2
2015-03-25  12:07:40,605496	1,500000E+0	2015-03-25  12:07:40,605496	-3,091097E-2
2015-03-25  12:07:40,605536	1,500000E+0	2015-03-25  12:07:40,605536	-1,282866E-2
2015-03-25  12:07:40,605576	1,500000E+0	2015-03-25  12:07:40,605576	5,510077E-3
2015-03-25  12:07:40,605616	1,500000E+0	2015-03-25  12:07:40,605616	2,343026E-2
2015-03-25  12:07:40,605656	1,500000E+0	2015-03-25  12:07:40,605656	4,028230E-2
2015-03-25  12:07:40,605696	1,500000E+0	2015-03-25  12:07:40,605696	5,546542E-2
2015-03-25  12:07:40,605736	1,500000E+0	2015-03-25  12:07:40,605736	6,844891E-2
2015-03-25  12:07:40,605776	1,500000E+0	2015-03-25  12:07:40,605776	7,879049E-2
2015-03-25  12:07:40,605816	1,500000E+0	2015-03-25  12:07:40,605816	8,615118E-2
2015-03-25  12:07:40,605856	1,500000E+0	2015-03-25  12:07:40,605856	9,030617E-2
2015-03-25  12:07:40,605896	1,500000E+0	2015-03-25  12:07:40,605896	9,115134E-2
2015-03-25  12:07:40,605936	1,500000E+0	2015-03-25  12:07:40,605936	8,870524E-2
2015-03-25  12:07:40,605976	1,500000E+0	2015-03-25  12:07:40,605976	8,310661E-2
2015-03-25  12:07:40,606016	1,500000E+0	2015-03-25  12:07:40,606016	7,460748E-2
2015-03-25  12:07:40,606056	1,500000E+0	2015-03-25  12:07:40,606056	6,356229E-2
2015-03-25  12:07:40,606096	1,500000E+0	2015-03-25  12:07:40,606096	5,041332E-2
2015-03-25  12:07:40,606136	1,500000E+0	2015-03-25  12:07:40,606136	3,567327E-2
